PARENT/Child,Question,Correct Answer,Tag
PARENT,ielts17GT2003,,
Child,1,IX or ix,read.mtchead
Child,2,XI or xi,read.mtchead
Child,3,II or ii,read.mtchead
Child,4,VII or vii,read.mtchead
Child,5,I or i,read.mtchead
Child,6,III or iii,read.mtchead
Child,7,TRUE or True or true or T or t,read.tfng
Child,8,FALSE or False or false or F or f,read.tfng
Child,9,FALSE or False or false or F or f,read.tfng
Child,10,NOT GIVEN or Not Given or Not given or not given,read.tfng
Child,11,TRUE or True or true or T or t,read.tfng
Child,12,TRUE or True or true or T or t,read.tfng
Child,13,FALSE or False or false or F or f,read.tfng
