sequence,title
mcat3eVidOri01,MCAT Orientation
mcat3eVidOri02,MCAT Orientation
mcat3eVidOri03,MCAT Orientation
mcat3eIntro001,CARS 1 Session Intro
mcat3eIntro002,Chem / Phys 1 Session Intro
mcat3eIntro003,Bio / Biochem 1 Session Intro
mcat3eIntro004,Psych / Soc 1 Session Intro
mcat3eIntro005,CARS 2 Session Intro
mcat3eIntro006,Chem / Phys 2 Session Intro
mcat3eIntro007,Bio / Biochem 2 Session Intro
mcat3eIntro008,Psych / Soc 2 Session Intro
mcat3eIntro009,CARS 3 Session Intro
mcat3eIntro010,Chem / Phys 3 Session Intro
mcat3eIntro011,Bio / Biochem 3 Session Intro
mcat3eIntro012,Psych / Soc 3 Session Intro
