sequence,title
vid.act14orientation,ACT Orientation Video
vid.actabout,About the ACT
vid.satabout,About the SAT
vid.actlom24i,Answer Absolute Value Questions
vid.actlow10i,Answer Ambiguous Pronoun Questions
vid.actlom48i,Answer Combination + Permutation Questions
vid.actlor05i,Answer Critical Reading Detail Questions
vid.actlor08i,Answer Critical Reading Function Questions
vid.actlor07i,Answer Critical Reading Global Questions
vid.actlor06i,Answer Critical Reading Inference Questions
vid.actlom51i,Answer Logic Questions
vid.actlom17i,"Answer Mean, Median + Mode Questions"
vid.actlow17i,Answer Parallel Structure Questions
vid.actlow21i,Answer Passive Voice Questions
vid.actlos05i,Answer Patterns Questions
vid.actlom45i,Answer Probability Questions
vid.actlom21i,Answer Questions about Radicals
vid.actlow13i,Answer Questions on Irrelevant + Misplaced Information
vid.actlow11i,Answer Questions on Misused Objective + Subjective Pronouns
vid.actlom16i,Answer Questions on Percents
vid.actlom37i,Answer Questions on Polygons + Total Angle Measures
vid.actlom44i,Answer Questions on Set Intersections + Unions
vid.actlom50i,"Answer Questions Using Charts, Tables + Graphs"
vid.actlom25i,Answer Questions Using Number Lines
vid.actlom46i,"Answer Ratio, Rate + Proportions Questions"
vid.actlow07i,Answer Redundancy Questions
vid.actlom35i,Answer Special Right Triangle Questions
vid.actlow08i,Answer Subject-Verb Agreement Questions
vid.actlor09i,Answer Vocab-in-Context Questions
vid.actlom42i,Answer Volume + Surface Area of Solids Questions
vid.pcactorient,Anywhere Orientation Session
vid.actlom38i,Basics of Circles
vid.actlom18i,Basics of Ratios
vid.pcactsession1,Class Session 1
vid.pcactsession2,Class Session 2
vid.pcactsession3,Class Session 3
vid.pcactsession4,Class Session 4
vid.pcactsession5,Class Session 5
vid.pcactsession6,Class Session 6
vid.actlow12i,Commonly Tested Idioms
vid.actlow20i,Comparing Like Nouns + Verbs
vid.actlos07i,Conflicting Viewpoints Questions
vid.actlow03i,Correct Verb Tenses
vid.actlow19i,Correcting Misused Adjectives + Adverbs
vid.actlow09i,Correcting Pronoun Use
vid.actlom31i,"Define Key Terms: Parallel, Tangent + Perpendicular"
vid.actlom47i,Demystifying Trigonometry
vid.actlow14i,FANBOYS Conjunctions
vid.actlom27i,Find Equations of Parallel + Perpendicular Lines
vid.actlom29i,Graph a Parabola
vid.actlow06i,Identify + Correct Apostrophe Use
vid.actlow05i,Identify + Correct Colon Use
vid.actlow04i,Identify + Correct Comma Use
vid.actlow15i,Identify + Correct Run-Ons
vid.actlow16i,Identify + Correct Sentence Fragments
vid.actlom39i,Identify + Work with Tangent Lines
vid.actlos02i,Interpret Variables + Patterns in Figures
vid.actlom26i,Manipulate Linear Equations
vid.actlom20i,Multiply + Divide Exponents without a Calculator
vid.actlom02i,Point Builder: Backsolving
vid.actlom03i,Point Builder: Eliminating + Strategic Guessing
vid.actlos06i,Point Builder: Explain the Method
vid.actlom04i,Point Builder: Fundamental Math
vid.actlos04i,Point Builder: Interpreting Figures
vid.actlom09i,Point Builder: Kaplan Math Strategies
vid.actlos03i,Point Builder: Kaplan Method for ACT Science
vid.actlow01i,Point Builder: Kaplan Method for English Multiple Choice
vid.actlor02i,Point Builder: Kaplan Reading Strategies
vid.actlor01i,Point Builder: Passage Mapping
vid.actlom01i,Point Builder: Picking Numbers
vid.actlor04i,Point Builder: Prose Fiction Passages
vid.actlor03i,Point Builder: Science Vocabulary
vid.actlom05i,Point Builder: Using Your Calculator
vid.actlom06i,Point Builder: Word Problems
vid.actlom30i,Properties of Lines Cut by Transversals
vid.actlos01i,"Purpose, Method + Results"
vid.actlom34i,Pythagorean Triplets + When to Use Them
vid.actlom28i,Quadratics: Foil + Reverse Foil
vid.actlow18i,Recognizing Misplaced Modifiers
vid.actlom32i,Recognizing Triangle Basics
vid.actlom07i,Simplify Expressions Using the Order of Operations
vid.actlom43i,Simplify Solids
vid.actlom22i,Simplifying Logarithms
vid.actlom23i,Solve an Inequality for an Unknown Variable
vid.actlom10i,Solve for a System of Equations
vid.actlom08i,Solve for an Unknown Variable
vid.actlom11i,Solve Math Functions
vid.actlom33i,The Pythagorean Theorem
vid.actlow02i,Transitions and Flow
vid.actlom40i,"Understand Angles in a Circle, Arc Length + Sector Area"
vid.actlom13i,Understand Factors of a Number
vid.actlom14i,Understand Multiples of a Number
vid.actlom12i,Understand Number Properties
vid.actlom15i,Understand Prime Numbers + Factors
vid.actlom19i,Use Ratio Charts
vid.actlom49i,Work with Matrices
vid.actlow22i,Writing Logically
